City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
140,Cerritos,US,33.8583,-118.0648,97.0,63,75,8.01,broken clouds
141,Harper,LR,4.375,-7.7169,75.76,77,30,7.56,scattered clouds
142,Abu Samrah,SY,35.3029,37.1841,84.94,37,0,7.11,clear sky
143,Kungurtug,RU,50.5994,97.5228,52.59,94,88,1.79,overcast clouds
144,Innisfail,AU,-17.5333,146.0333,63.21,74,100,4.92,overcast clouds
145,Palu,ID,-0.8917,119.8707,73.98,93,58,3.09,broken clouds
146,Haines Junction,CA,60.7522,-137.5108,56.68,60,98,4.34,overcast clouds
147,Shubarkuduk,KZ,49.1447,56.4872,72.28,44,0,7.36,clear sky
148,Labuhan,ID,-6.8844,112.2051,72.81,83,47,7.47,scattered clouds
149,Vaini,TO,-21.2,-175.2,75.47,83,71,4.83,broken clouds
150,Cerrito,CO,6.8432,-72.694,58.39,88,100,0.36,overcast clouds
151,Igunga,TZ,-4.2833,33.8833,69.69,40,2,9.82,clear sky
152,Dunedin,NZ,-45.8742,170.5036,50.81,74,100,15.99,overcast clouds
153,Guerrero Negro,MX,27.9769,-114.0611,78.66,56,85,11.68,overcast clouds
154,Ribeira Grande,PT,38.5167,-28.7,73.8,78,20,4.61,few clouds
155,Dongying,CN,37.4564,118.4856,77.2,76,1,7.87,clear sky
156,Dauriya,RU,49.9333,116.8667,53.49,93,4,5.35,clear sky
157,Kaitangata,NZ,-46.2817,169.8464,48.92,70,100,3.02,light rain
158,Ketchikan,US,55.3422,-131.6461,61.27,72,90,6.91,light rain
159,Komsomolskiy,UZ,40.4272,71.7189,81.32,34,0,4.61,clear sky
160,Clermont,FR,49.5,2.4167,66.7,90,30,6.17,scattered clouds
161,Ouegoa,NC,-20.35,164.4333,66.81,86,2,7.14,clear sky
162,Cobh,IE,51.8572,-8.2992,69.53,77,20,5.75,few clouds
163,Spruce Grove,CA,53.5334,-113.9187,78.42,40,51,9.93,broken clouds
164,Belle Fourche,US,44.6714,-103.8522,99.25,18,6,9.01,clear sky
165,Hambantota,LK,6.1241,81.1185,79.92,79,99,17.69,overcast clouds
166,Sept-Iles,CA,50.2001,-66.3821,66.25,86,75,7.0,broken clouds
167,Georgetown,MY,5.4112,100.3354,83.89,83,20,0.0,few clouds
168,Yumen,CN,40.2833,97.2,76.3,33,4,10.07,clear sky
169,Ambon,ID,-3.6954,128.1814,77.14,94,40,0.0,scattered clouds
170,Dosso,NE,13.049,3.1937,87.15,54,99,12.35,overcast clouds
171,Sao Filipe,CV,14.8961,-24.4956,74.35,75,77,9.51,broken clouds
172,Chipata,ZM,-13.6333,32.65,52.7,70,41,8.7,scattered clouds
173,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,68,0,18.41,clear sky
174,Fortuna,US,40.5982,-124.1573,60.98,84,1,12.66,clear sky
175,Souillac,MU,-20.5167,57.5167,69.37,65,4,15.79,clear sky
176,Kvarkeno,RU,52.0833,59.725,61.07,66,19,5.75,few clouds
177,Guayaramerin,BO,-10.8368,-65.3614,98.02,24,6,3.71,clear sky
178,Umm Kaddadah,SD,13.6017,26.6876,88.63,43,94,18.1,overcast clouds
179,Conakry,GN,9.538,-13.6773,78.87,83,40,6.91,light rain
180,Olavarria,AR,-36.8927,-60.3225,55.38,57,33,11.03,scattered clouds
181,Ilhabela,BR,-23.7781,-45.3581,70.39,65,0,3.47,clear sky
182,Miranda,CO,3.2499,-76.2281,73.53,88,100,0.78,overcast clouds
183,Oistins,BB,13.0667,-59.5333,84.29,79,20,11.5,few clouds
184,Pafos,CY,34.7667,32.4167,82.18,78,0,8.05,clear sky
185,Kirakira,SB,-10.4544,161.9205,78.89,82,86,8.12,overcast clouds
186,Port Lincoln,AU,-34.7333,135.8667,55.89,82,100,18.57,overcast clouds
187,Gushikawa,JP,26.3544,127.8686,80.19,89,90,6.91,overcast clouds
188,Goderich,CA,43.7501,-81.7165,84.04,71,0,4.07,clear sky
189,Pangai,TO,-19.8,-174.35,73.51,100,75,3.44,broken clouds
190,Yerbogachen,RU,61.2767,108.0108,61.38,66,78,1.36,broken clouds
191,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,78,20,14.97,few clouds
192,Salalah,OM,17.0151,54.0924,78.89,89,75,8.05,broken clouds
193,Lynn Haven,US,30.2455,-85.6483,94.98,51,40,4.0,haze
194,Oktyabrskoye,RU,43.0645,44.7417,68.14,94,11,4.47,few clouds
195,Birobidzhan,RU,48.8,132.95,70.23,95,100,3.51,overcast clouds
