City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
322,Seoul,KR,81.84,few clouds,37.5683,126.9778,롯데호텔 서울
323,Merauke,ID,76.66,overcast clouds,-8.4667,140.3333,
325,Ibipeba,BR,77.36,scattered clouds,-11.6408,-42.0111,Quitanda santos
330,Athabasca,CA,76.82,overcast clouds,54.7169,-113.2854,Athabasca Lodge Motel
333,Praia,CV,77.54,scattered clouds,14.9215,-23.5087,LT Aparthotel
335,Manggar,ID,81.03,clear sky,-2.8833,108.2667,Guest Hotel
337,Rock Springs,US,89.04,clear sky,41.5875,-109.2029,Homewood Suites by Hilton Rock Springs
340,Bonthe,SL,76.95,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
344,Itarema,BR,81.09,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
348,Cedar City,US,84.18,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
355,Bani Walid,LY,80.17,clear sky,31.7566,13.9942,منزل الصابر أبوفانة
359,Salinopolis,BR,82.47,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
361,Nanchang,CN,79.38,broken clouds,28.6833,115.8833,Gloria Plaza Hotel Nanchang
363,Kilindoni,TZ,76.17,light rain,-7.9139,39.6668,Bustani B&B
367,Tabou,CI,75.81,few clouds,4.423,-7.3528,hotêl doufoulougou
368,Lagos,NG,82.72,scattered clouds,6.5833,3.75,
375,Cockburn Town,TC,82.8,few clouds,21.4612,-71.1419,Osprey Beach Hotel
376,Ushtobe,KZ,75.24,clear sky,45.2514,77.9838,"Gostinitsa ""Diyar"""
377,Katsuura,JP,80.11,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
379,Broome,US,85.69,scattered clouds,42.2506,-75.833,Chenango Valley State Park
381,Athens,GR,81.18,clear sky,37.9795,23.7162,Novotel Athenes
382,Daru,PG,76.48,moderate rain,-9.0763,143.2092,Daru Lodge
384,Laguna De Perlas,NI,86.09,overcast clouds,12.3429,-83.6712,Hotel Best View
386,Kavaratti,IN,81.0,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
